"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"30.05.2022","120,0050","119,7900","120,0150","119,7900","0,38%"
"27.05.2022","119,5500","119,3650","119,5650","119,3650","0,13%"
"26.05.2022","119,4000","119,2650","119,4350","119,0600","0,29%"
"25.05.2022","119,0500","119,0600","119,0950","119,0250","0,06%"
"24.05.2022","118,9800","119,0250","119,1150","119,0200","0,13%"
"23.05.2022","118,8200","118,2950","118,9600","118,2950","0,29%"
"20.05.2022","118,4800","118,2900","118,5050","118,2900","0,12%"
"19.05.2022","118,3400","118,0100","118,3800","118,0100","0,28%"
"18.05.2022","118,0100","118,0200","118,0550","117,9750","-0,05%"
"17.05.2022","118,0700","117,8600","118,0750","117,8050","0,18%"
"16.05.2022","117,8600","117,3700","117,9150","117,3700","0,37%"
"13.05.2022","117,4200","117,2050","117,4400","117,2050","0,14%"
"12.05.2022","117,2500","117,0850","117,2800","117,0200","0,15%"
"11.05.2022","117,0800","117,1000","117,1200","117,0100","0,13%"
"10.05.2022","116,9300","116,9200","116,9500","116,8350","0,15%"
"09.05.2022","116,7500","116,3050","116,7800","116,3050","0,49%"
"06.05.2022","116,1800","115,9600","116,3250","115,9600","0,03%"
"05.05.2022","116,1500","115,9600","116,1850","115,9600","0,12%"
"04.05.2022","116,0100","115,8750","116,0500","115,8300","0,12%"
"03.05.2022","115,8700","115,7350","115,8950","115,6750","0,12%"
"02.05.2022","115,7300","115,2650","115,8250","115,2650","0,36%"
"29.04.2022","115,3200","115,1350","115,3350","115,1350","0,11%"
"28.04.2022","115,1900","114,9800","115,1900","114,9800","0,14%"
"27.04.2022","115,0300","114,6400","115,0500","114,6400","0,17%"
"26.04.2022","114,8400","114,6900","114,8500","114,6350","0,14%"
"25.04.2022","114,6800","114,1850","114,7250","114,1850","0,49%"
"22.04.2022","114,1200","114,0350","114,2500","114,0350","0,04%"
"21.04.2022","114,0800","113,9250","114,1300","113,9000","0,10%"
"20.04.2022","113,9650","113,7350","113,9750","113,7350","0,16%"
"19.04.2022","113,7800","113,6900","113,7950","113,6900","0,15%"
"18.04.2022","113,6100","113,3350","113,7200","113,2950","0,64%"
"15.04.2022","112,8900","112,9150","112,9150","112,9150","0,07%"
"14.04.2022","112,8100","112,9100","112,9400","112,8600","-0,12%"
"13.04.2022","112,9500","112,7200","112,9600","112,7200","0,27%"
"12.04.2022","112,6500","112,5400","112,7700","112,5350","0,16%"
"11.04.2022","112,4700","112,1050","112,6150","112,1050","0,29%"
"08.04.2022","112,1500","111,9800","112,1650","111,9250","0,16%"
"07.04.2022","111,9700","111,8350","111,9900","111,6750","0,13%"
"06.04.2022","111,8300","111,6950","111,8800","111,6500","0,13%"
"05.04.2022","111,6900","111,5050","111,7350","111,5050","0,11%"
"04.04.2022","111,5700","111,0750","111,6100","111,0750","0,40%"
"01.04.2022","111,1200","110,9550","111,1400","110,9550","0,11%"
"31.03.2022","111,0000","111,0000","111,0100","110,9750","0,11%"
"30.03.2022","110,8800","110,8800","110,9450","110,8450","0,07%"
"29.03.2022","110,8000","110,7950","110,8250","110,7900","0,10%"
"28.03.2022","110,6850","110,1250","110,7100","110,1250","0,28%"
"25.03.2022","110,3800","110,1250","110,7650","110,1200","0,24%"
"24.03.2022","110,1200","110,1250","110,6250","110,0950","-0,05%"
"23.03.2022","110,1700","110,0700","110,1900","110,0700","0,10%"
"22.03.2022","110,0600","109,9700","110,0850","109,9700","0,09%"
"21.03.2022","109,9600","109,8800","110,0500","109,8150","0,26%"
"18.03.2022","109,6800","109,5950","109,6850","109,5700","0,16%"
"17.03.2022","109,5100","109,3650","109,5350","109,3650","0,09%"
"16.03.2022","109,4100","109,2700","109,4400","109,2700","0,19%"
"15.03.2022","109,2000","109,2650","109,3250","109,2500","0,01%"
"14.03.2022","109,1900","108,8450","109,2700","108,8450","0,32%"
"11.03.2022","108,8400","108,9050","108,9050","108,7700","0,06%"
"10.03.2022","108,7700","108,6950","108,8200","108,6950","0,07%"
"09.03.2022","108,6900","108,6800","108,6950","108,4400","0,13%"
"08.03.2022","108,5500","108,5200","109,0550","108,4400","0,10%"
"07.03.2022","108,4400","108,4700","108,4800","108,4450","0,39%"
"04.03.2022","108,0200","107,8850","108,1750","107,8850","-0,01%"
"03.03.2022","108,0300","107,9100","108,0700","107,8900","0,19%"
"02.03.2022","107,8200","107,7700","108,0300","107,6900","0,40%"
"01.03.2022","107,3900","107,4000","107,4250","107,3650","0,00%"
"28.02.2022","107,3900","107,3350","107,4300","107,3300","-0,05%"
"25.02.2022","107,4400","107,3350","107,4600","107,3350","0,07%"
"24.02.2022","107,3700","107,2450","107,4500","107,2450","0,08%"
"23.02.2022","107,2800","107,1450","107,3250","107,1450","0,08%"
"22.02.2022","107,1900","107,1750","107,2000","107,0900","0,12%"
"21.02.2022","107,0600","106,9400","107,0800","106,9400","0,26%"
"18.02.2022","106,7800","106,6300","106,7900","106,6300","0,10%"
"17.02.2022","106,6700","106,5250","106,6900","106,5200","0,14%"
"16.02.2022","106,5250","106,5800","106,5850","106,5250","0,16%"
"15.02.2022","106,3500","106,3200","106,4850","106,3200","0,09%"
"14.02.2022","106,2500","106,0650","106,4650","106,0650","0,10%"
"11.02.2022","106,1400","106,0150","106,1550","105,7650","0,12%"
"10.02.2022","106,0100","106,0150","106,0250","105,9950","0,12%"
"09.02.2022","105,8800","105,7650","105,9250","105,7650","0,08%"
"08.02.2022","105,8000","105,7850","105,8250","105,7250","0,22%"
"07.02.2022","105,5700","105,7500","105,7650","105,6250","0,26%"
"04.02.2022","105,3000","105,4300","105,4450","105,3600","0,03%"
"03.02.2022","105,2700","105,0750","105,3650","105,0750","0,10%"
"02.02.2022","105,1600","104,9800","105,2250","104,9800","0,04%"
"01.02.2022","105,1150","105,0723","105,2260","105,0723","0,11%"
"31.01.2022","105,0000","104,9350","105,0400","104,7900","0,16%"
"28.01.2022","104,8300","104,8500","104,8800","104,7800","0,08%"
"27.01.2022","104,7500","104,7050","104,8200","104,6550","0,05%"
"26.01.2022","104,7000","104,6200","104,7200","104,4750","0,09%"
"25.01.2022","104,6100","104,5050","104,6250","104,3000","0,18%"
"24.01.2022","104,4200","104,3000","104,5700","104,3000","0,08%"
"21.01.2022","104,3400","104,2800","104,3800","104,2550","0,12%"
"20.01.2022","104,2100","104,1850","104,3350","104,1850","0,07%"
"19.01.2022","104,1400","104,2550","104,3000","104,1900","0,08%"
"18.01.2022","104,0600","104,0300","104,2150","104,0300","0,04%"
"17.01.2022","104,0200","104,0550","104,0550","104,0550","0,17%"
"14.01.2022","103,8400","103,8450","103,8850","103,8150","0,08%"
"13.01.2022","103,7600","103,6650","103,8800","103,5850","0,10%"
"12.01.2022","103,6600","103,5400","103,6650","103,4900","0,19%"
"11.01.2022","103,4600","103,5850","103,5950","103,5150","0,01%"
